,product_name,product_price,product_image,product_image_1,product_image_2,search_text
91,"13"" Rose Gold Lacquer Charger",$0.92 ,https://partyperfect.com/itemimages/9261t.jpg,https://partyperfect.com/itemimages/9261-1.jpg,https://partyperfect.com/itemimages/9261-1.jpg,CHINA_RENTALS
92,"13"" Silver Lacquer Charger",$0.92 ,https://partyperfect.com/itemimages/8632t.jpg,https://partyperfect.com/itemimages/8632-1.jpg,https://partyperfect.com/itemimages/8632-1.jpg,CHINA_RENTALS
93,"14.25"" X 7.5"" White Ceramic Platter",$8.16 ,https://partyperfect.com/itemimages/8933t.jpg,https://partyperfect.com/itemimages/8933-1.jpg,https://partyperfect.com/itemimages/8933-1.jpg,CHINA_RENTALS
94,"17"" X 15"" White Ceramic Platter",$9.24 ,https://partyperfect.com/itemimages/8803t.jpg,https://partyperfect.com/itemimages/8803-1.jpg,https://partyperfect.com/itemimages/8803-1.jpg,CHINA_RENTALS
95,"18"" X 11"" White Ceramic Platter",$9.24 ,https://partyperfect.com/itemimages/1227t.jpg,https://partyperfect.com/itemimages/1227-1.jpg,https://partyperfect.com/itemimages/1227-1.jpg,CHINA_RENTALS
96,"18"" X 8.75"" White Ceramic Platter",$9.24 ,https://partyperfect.com/itemimages/8934t.jpg,https://partyperfect.com/itemimages/8934-1.jpg,https://partyperfect.com/itemimages/8934-1.jpg,CHINA_RENTALS
97,"21"" X 13"" White Ceramic Platter",$9.24 ,https://partyperfect.com/itemimages/8935t.jpg,https://partyperfect.com/itemimages/8935-1.jpg,https://partyperfect.com/itemimages/8935-1.jpg,CHINA_RENTALS
98,4oz White Bouillon Soup Cup,$0.48 ,https://partyperfect.com/itemimages/1224t.jpg,https://partyperfect.com/itemimages/1224-1.jpg,https://partyperfect.com/itemimages/1224-1.jpg,CHINA_RENTALS
99,6 Oz White Ramekin,$0.48 ,https://partyperfect.com/itemimages/1242t.jpg,https://partyperfect.com/itemimages/1242-1.jpg,https://partyperfect.com/itemimages/1242-1.jpg,CHINA_RENTALS
100,"6"" White Oval Plate",$0.63 ,https://partyperfect.com/itemimages/1236t.jpg,https://partyperfect.com/itemimages/1236-1.jpg,https://partyperfect.com/itemimages/1236-1.jpg,CHINA_RENTALS
101,60 Oz White Family Style Bowl,$3.42 ,https://partyperfect.com/itemimages/8119t.jpg,https://partyperfect.com/itemimages/8119-1.jpg,https://partyperfect.com/itemimages/8119-1.jpg,CHINA_RENTALS
102,"7.5"" Black Square Salad Plate",$0.68 ,https://partyperfect.com/itemimages/1232t.jpg,https://partyperfect.com/itemimages/1232-1.jpg,https://partyperfect.com/itemimages/1232-1.jpg,CHINA_RENTALS
103,"7.5"" White Square Salad Plate",$0.68 ,https://partyperfect.com/itemimages/1226t.jpg,https://partyperfect.com/itemimages/1226-1.jpg,https://partyperfect.com/itemimages/1226-1.jpg,CHINA_RENTALS
104,"8"" Glass Salad Plate",$0.53 ,https://partyperfect.com/itemimages/1578t.jpg,https://partyperfect.com/itemimages/1578-1.jpg,https://partyperfect.com/itemimages/1578-1.jpg,CHINA_RENTALS
105,"9"" Glass Dinner Plate",$0.53 ,https://partyperfect.com/itemimages/1576t.jpg,https://partyperfect.com/itemimages/1576-1.jpg,https://partyperfect.com/itemimages/1576-1.jpg,CHINA_RENTALS
106,Black Demitasse Cup,$0.48 ,https://partyperfect.com/itemimages/1247t.jpg,https://partyperfect.com/itemimages/1247-1.jpg,https://partyperfect.com/itemimages/1247-1.jpg,CHINA_RENTALS
107,Black Demitasse Saucer,$0.48 ,https://partyperfect.com/itemimages/1248t.jpg,https://partyperfect.com/itemimages/1248-1.jpg,https://partyperfect.com/itemimages/1248-1.jpg,CHINA_RENTALS
108,Black Square Bowl,$0.68 ,https://partyperfect.com/itemimages/1245t.jpg,https://partyperfect.com/itemimages/1245-1.jpg,https://partyperfect.com/itemimages/1245-1.jpg,CHINA_RENTALS
109,CHINA - CAROLINE, ,https://partyperfect.com/itemimages/8784t.jpg,https://partyperfect.com/itemimages/8784-1.jpg,https://partyperfect.com/itemimages/8784-1.jpg,CHINA_RENTALS
110,CHINA - JULIA PLATINUM RIM, ,https://partyperfect.com/itemimages/8799t.jpg,https://partyperfect.com/itemimages/8799-1.jpg,https://partyperfect.com/itemimages/8799-1.jpg,CHINA_RENTALS
111,CHINA - PEACOCK, ,https://partyperfect.com/itemimages/8797t.jpg,https://partyperfect.com/itemimages/8797-1.jpg,https://partyperfect.com/itemimages/8797-1.jpg,CHINA_RENTALS
