product_name,product_price,product_image,product_image_1,product_image_2,search_text
8 Qt. Rolltop Chafer With Brass Handle,$39.78 ,https://partyperfect.com/itemimages/8241t.jpg,https://partyperfectcom/itemimages/8241-1.jpg,https://partyperfectcom/itemimages/8242-,CHAFERS_WARMERS_RENTALS
8 Qt. Round Stainless Rolltop Chafer,$39.78 ,https://partyperfect.com/itemimages/1115t.jpg,https://partyperfectcom/itemimages/1115-1.jpg,https://partyperfectcom/itemimages/2,CHAFERS_WARMERS_RENTALS
Black Garden Chair,$3.70 ,https://partyperfect.com/itemimages/1184t.jpg,https://partyperfectcom/itemimages/1184-1.jpg,https://partyperfectcom/itemimages/2,CHAIR_RENTALS
Black Vinyl Folding Chair,$1.60 ,https://partyperfect.com/itemimages/1176t.jpg,https://partyperfectcom/itemimages/1176-1.jpg,https://partyperfectcom/itemimages/2,CHAIR_RENTALS
Chiavari Chairs, ,https://partyperfect.com/itemimages/9145t.jpg,https://partyperfectcom/itemimages/9145-1.jpg,https://partyperfectcom/itemimages/9245-,CHAIR_RENTALS
Natural Garden Chair,$3.70 ,https://partyperfect.com/itemimages/1182t.jpg,https://partyperfectcom/itemimages/1182-1.jpg,https://partyperfectcom/itemimages/2,CHAIR_RENTALS
Red Throne Chair,$181.30 ,https://partyperfect.com/itemimages/1185t.jpg,https://partyperfectcom/itemimages/1185-1.jpg,https://partyperfectcom/itemimages/2,CHAIR_RENTALS
Tan On Satin Folding Chair,$1.70 ,https://partyperfect.com/itemimages/1147t.jpg,https://partyperfectcom/itemimages/1147-1.jpg,https://partyperfectcom/itemimages/2,CHAIR_RENTALS
Timberwood Garden Chair,$3.70 ,https://partyperfect.com/itemimages/9265t.jpg,https://partyperfectcom/itemimages/9265-1.jpg,https://partyperfectcom/itemimages/9265-2.jpg,CHAIR_RENTALS
White Garden Chair,$3.70 ,https://partyperfect.com/itemimages/1183t.jpg,https://partyperfectcom/itemimages/1183-1.jpg,https://partyperfectcom/itemimages/2,CHAIR_RENTALS
White Throne Chair,$181.30 ,https://partyperfect.com/itemimages/8603t.jpg,https://partyperfectcom/itemimages/8603-1.jpg,https://partyperfectcom/itemimages/8603-2.jpg,CHAIR_RENTALS
White Vinyl Folding Chair,$1.80 ,https://partyperfect.com/itemimages/8643t.jpg,https://partyperfectcom/itemimages/8643-1.jpg,https://partyperfectcom/itemimages/8643-2.jpg,CHAIR_RENTALS
X Back Bar Stool,$13.40 ,https://partyperfect.com/itemimages/7963t.jpg,https://partyperfectcom/itemimages/7963-1.jpg,https://partyperfectcom/itemimages/7963-2.jpg,CHAIR_RENTALS
X Back Chair,$8.60 ,https://partyperfect.com/itemimages/7962t.jpg,https://partyperfectcom/itemimages/7962-1.jpg,https://partyperfectcom/itemimages/7962-2.jpg,CHAIR_RENTALS
X Back Chair Cushion,$2.50 ,https://partyperfect.com/itemimages/8644t.jpg,https://partyperfectcom/itemimages/8644-1.jpg,https://partyperfectcom/itemimages/8644-2.jpg,CHAIR_RENTALS
"10"" Black Square Dinner Plate",$0.68 ,https://partyperfect.com/itemimages/1231t.jpg,https://partyperfectcom/itemimages/1231-1.jpg,https://partyperfectcom/itemimages/223,CHINA_RENTALS
"10"" White Square Dinner Plate",$0.68 ,https://partyperfect.com/itemimages/1225t.jpg,https://partyperfectcom/itemimages/1225-1.jpg,https://partyperfectcom/itemimages/2225-,CHINA_RENTALS
"13"" Copper Beaded Lacquer Charger",$0.92 ,https://partyperfect.com/itemimages/8938t.jpg,https://partyperfectcom/itemimages/8938-1.jpg,https://partyperfectcom/itemimages/8938-2.jpg,CHINA_RENTALS
"13"" Gold Bead Glass Charger",$5.10 ,https://partyperfect.com/itemimages/8687t.jpg,https://partyperfectcom/itemimages/8687-1.jpg,https://partyperfectcom/itemimages/8687-2.jpg,CHINA_RENTALS
